宿番号,宿名,現･住所,家数(軒),本陣(軒),脇本陣(軒),旅籠数(軒)
0,日本橋,東京都中央区日本橋,,,,
1,品川,東京都品川区北品川,"1,561",1,2,93
2,川崎,神奈川県川崎市川崎区本町,541,2,0,72
3,神奈川,神奈川県横浜市神奈川区神奈川２丁目,"1,341",2,0,58
4,程ヶ谷,神奈川県横浜市保土ヶ谷区保土ヶ谷１丁目,558,1,3,67
5,戸塚,神奈川県横浜市戸塚区戸塚町,613,2,3,75
6,藤沢,神奈川藤沢市本町１丁目､藤沢１丁目,919,1,1,45
7,平塚,神奈川県平塚市平塚､錦町､見附町,443,1,1,54
8,大礒,神奈川県中郡大磯町南本町､南下町､北下町,676,3,0,66
9,小田原,神奈川県小田原市本町､南町,"1,542",4,4,95
10,箱根,神奈川県足柄下郡箱根町箱根,197,6,1,36
11,三島,静岡県三島市本町､中央町､西本町,"1,025",2,3,74
12,沼津,静岡県沼津市本町,"1,234",3,1,55
13,原,静岡県沼津市原,398,1,1,25
14,吉原,静岡県富士市吉原二丁目,653,2,3,60
15,蒲原,静岡県庵原郡蒲原町二丁目､三丁目,509,1,3,42
16,由比,静岡県庵原郡由比町由比,160,1,1,32
17,興津,静岡県静岡市清水区興津本町,316,2,2,34
18,江尻,静岡県静岡市清水区江尻町,"1,340",2,3,50
19,府中,静岡県静岡市葵区伝馬町,"3,673",2,2,43
20,丸子,静岡県静岡市駿河区丸子,211,1,2,24
21,岡部,静岡県藤枝市岡部町岡部,487,2,2,27
22,藤枝,静岡県藤枝市藤枝,"1,061",2,0,37
23,島田,静岡県島田市本通,"1,461",3,0,48
24,金谷,静岡県島田市金谷本町,"1,004",3,1,51
25,日坂,静岡県掛川市日坂,168,1,1,33
26,掛川,静岡県掛川市連雀,960,2,0,30
27,袋井,静岡県袋井市袋井,195,3,0,50
28,見附,静岡県磐田市見付,"1,029",2,1,56
29,浜松,静岡県浜松市中区伝馬町,"1,622",6,0,94
30,舞阪,静岡県浜松市西区舞阪町舞阪,541,2,1,28
31,新居,静岡県湖西市新居町新居,797,3,0,26
32,白須賀,静岡県湖西市白須賀,613,1,1,27
33,二川,愛知県豊橋市二川町中町,328,1,1,38
34,吉田,愛知県豊橋市札木町,"1,293",2,1,65
35,御油,愛知県豊川市御油町美世賜,316,3,0,62
36,赤坂,愛知県豊川市赤坂町紅里,349,3,1,62
37,藤川,愛知県岡崎市中町北,302,1,1,36
38,岡崎,愛知県岡崎市伝馬通,"1,565",3,3,112
39,知立,愛知県知立市本町本,292,1,1,35
40,鳴海,愛知県名古屋市緑区鳴海町根古屋,847,1,2,68
41,宮,愛知県名古屋市熱田区神戸町,"2,924",2,1,248
42,桑名,三重県桑名市東船馬町,"2,544",2,4,120
43,四日市,三重県四日市市北町,"1,811",2,1,98
44,石薬師,三重県鈴鹿市石薬師町,241,3,0,15
45,庄野,三重県鈴鹿市庄野町,211,1,1,15
46,亀山,三重県亀山市東町,567,1,1,21
47,関,三重県亀山市関町中町,632,2,2,42
48,坂下,三重県亀山市関町坂下,153,3,1,48
49,土山,滋賀県甲賀市土山町北土山,351,2,0,44
50,水口,滋賀県甲賀市水口町元町,692,1,1,41
51,石部,滋賀県湖南市石部中央,458,2,0,32
52,草津,滋賀県草津市草津,586,2,2,72
53,大津,滋賀県大津市御幸町,"3,650",2,1,71
